"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-81.15","43.03","LONDON A","6144473","2016-06-01 00:00","2016","06","01","00:00","14.9","","9.1","","68","","7","","14","","24.1","","98.53","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2016-06-01 01:00","2016","06","01","01:00","14.2","","8.9","","70","","6","","12","","24.1","","98.55","","","","","","Clear"
"-81.15","43.03","LONDON A","6144473","2016-06-01 02:00","2016","06","01","02:00","13.1","","8.6","","74","","8","","10","","24.1","","98.61","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2016-06-01 03:00","2016","06","01","03:00","13.3","","8.6","","73","","8","","17","","24.1","","98.62","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2016-06-01 04:00","2016","06","01","04:00","13.4","","8.5","","72","","8","","25","","24.1","","98.60","","","","","","Mainly Clear"
"-81.15","43.03","LONDON A","6144473","2016-06-01 05:00","2016","06","01","05:00","13.0","","9.3","","78","","9","","23","","24.1","","98.65","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2016-06-01 06:00","2016","06","01","06:00","13.7","","9.2","","74","","8","","22","","24.1","","98.67","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2016-06-01 07:00","2016","06","01","07:00","14.9","","8.9","","67","","9","","27","","24.1","","98.72","","","","","","Mainly Clear"
"-81.15","43.03","LONDON A","6144473","2016-06-01 08:00","2016","06","01","08:00","16.8","","9.3","","61","","8","","31","","24.1","","98.60","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2016-06-01 09:00","2016","06","01","09:00","18.9","","10.0","","56","","8","","24","","24.1","","98.63","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2016-06-01 10:00","2016","06","01","10:00","20.8","","10.4","","51","","8","","19","","24.1","","98.59","","","","","","Mostly Cloudy"
"-81.15","43.03","LONDON A","6144473","2016-06-01 11:00","2016","06","01","11:00","22.3","","11.8","","51","","10","","18","","24.1","","98.54","","","","","","NA"
"-81.15","43.03","LONDON A","6144473","2016-06-01 12:00","2016","06","01","12:00","23.7","","11.6","","46","","12","","18","","24.1","","98.46","","26","","","","NA"
"-81.15","43.03","LONDON A","6144473","2016-06-01 13:00","2016","06","01","13:00","25.3","","12.0","","43","","12","","20","","24.1","","98.36","","28","","","","Mainly Clear"
"-81.15","43.03","LONDON A","6144473","2016-06-01 14:00","2016","06","01","14:00","26.4","","11.9","","40","","11","","13","","24.1","","98.31","","29","","","","NA"
"-81.15","43.03","LONDON A","6144473","2016-06-01 15:00","2016","06","01","15:00","27.1","","12.2","","39","","15","","10","","24.1","","98.28","","29","","","","NA"
"-81.15","43.03","LONDON A","6144473","2016-06-01 16:00","2016","06","01","16:00","27.6","","11.0","","35","","13","","17","","24.1","","98.23","","29","","","","Mainly Clear"
"-81.15","43.03","LONDON A","6144473","2016-06-01 17:00","2016","06","01","17:00","26.1","","13.1","","44","","11","","23","","24.1","","98.20","","29","","","","NA"
"-81.15","43.03","LONDON A","6144473","2016-06-01 18:00","2016","06","01","18:00","24.8","","12.6","","46","","11","","23","","24.1","","98.17","","27","","","","NA"
"-81.15","43.03","LONDON A","6144473","2016-06-01 19:00","2016","06","01","19:00","21.7","","11.8","","53","","9","","16","","24.1","","98.18","","","","","","Mostly Cloudy"
