"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-06-01 00:00","2016","06","01","00:00","11.6","","7.7","","77","","7","","8","","","","97.04","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-06-01 01:00","2016","06","01","01:00","11.3","","7.4","","77","","7","","9","","","","97.05","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-06-01 02:00","2016","06","01","02:00","11.4","","7.8","","79","","9","","7","","","","97.08","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-06-01 03:00","2016","06","01","03:00","11.8","","7.5","","75","","9","","13","","","","97.10","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-06-01 04:00","2016","06","01","04:00","11.1","","6.4","","73","","10","","12","","","","97.10","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-06-01 05:00","2016","06","01","05:00","10.8","","5.9","","72","","10","","14","","","","97.12","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-06-01 06:00","2016","06","01","06:00","11.1","","6.6","","74","","11","","7","","","","97.19","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-06-01 07:00","2016","06","01","07:00","12.8","","7.5","","70","","13","","5","","","","97.22","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-06-01 08:00","2016","06","01","08:00","14.7","","8.1","","65","","11","","8","","","","97.15","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-06-01 09:00","2016","06","01","09:00","16.7","","8.5","","59","","10","","8","","","","97.08","","","","","","NA"
