"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 00:00","2019","11","01","00:00","0.3","","0.0","","97","","29","","31","","","","94.95","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 01:00","2019","11","01","01:00","0.0","","-0.4","","98","","30","","25","","","","95.18","","","","-6","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 02:00","2019","11","01","02:00","-0.2","","-0.4","","99","","29","","27","","","","95.42","","","","-6","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 03:00","2019","11","01","03:00","-0.2","","-0.4","","99","","29","","24","","","","95.64","","","","-6","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 04:00","2019","11","01","04:00","-0.4","","-0.7","","98","","29","","29","","","","95.87","","","","-7","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 05:00","2019","11","01","05:00","-0.1","","-1.4","","91","","29","","24","","","","96.04","","","","-6","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 06:00","2019","11","01","06:00","-0.2","","-2.1","","87","","28","","21","","","","96.22","","","","-6","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 07:00","2019","11","01","07:00","-0.3","","-2.5","","85","","28","","19","","","","96.38","","","","-5","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 08:00","2019","11","01","08:00","-0.3","","-3.0","","82","","28","","16","","","","96.56","","","","-5","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 09:00","2019","11","01","09:00","0.0","","-3.1","","80","","27","","18","","","","96.70","","","","-5","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 10:00","2019","11","01","10:00","0.5","","-3.3","","76","","29","","17","","","","96.83","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 11:00","2019","11","01","11:00","0.4","","-1.6","","87","","26","","13","","","","96.93","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 12:00","2019","11","01","12:00","0.2","","-0.8","","93","","27","","13","","","","96.96","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 13:00","2019","11","01","13:00","0.7","","-0.9","","89","","27","","11","","","","97.00","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 14:00","2019","11","01","14:00","0.9","","-1.5","","84","","25","","13","","","","97.05","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 15:00","2019","11","01","15:00","0.8","","-1.5","","84","","25","","13","","","","97.14","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 16:00","2019","11","01","16:00","0.5","","-1.8","","85","","24","","14","","","","97.21","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 17:00","2019","11","01","17:00","0.4","","-2.0","","84","","23","","13","","","","97.24","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 18:00","2019","11","01","18:00","0.2","","-2.0","","85","","23","","8","","","","97.29","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 19:00","2019","11","01","19:00","0.1","","-1.8","","87","","18","","6","","","","97.27","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 20:00","2019","11","01","20:00","-0.2","","-2.0","","88","","17","","6","","","","97.22","","","","-2","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 21:00","2019","11","01","21:00","-0.2","","-1.7","","89","","17","","8","","","","97.22","","","","-3","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-11-01 22:00","2019","11","01","22:00","0.0","","-1.5","","90","","19","","10","","","","97.20","","","","-3","","NA"
