"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 00:00","2016","10","01","00:00","12.8","","8.8","","77","","11","","12","","","","97.34","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 01:00","2016","10","01","01:00","12.5","","8.4","","77","","11","","14","","","","97.32","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 02:00","2016","10","01","02:00","11.7","","9.9","","89","","9","","15","","","","97.27","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 03:00","2016","10","01","03:00","12.3","","10.5","","89","","9","","16","","","","97.17","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 04:00","2016","10","01","04:00","12.5","","10.6","","88","","11","","12","","","","97.19","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 05:00","2016","10","01","05:00","12.3","","10.5","","89","","10","","9","","","","97.22","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 06:00","2016","10","01","06:00","12.1","","10.3","","89","","10","","14","","","","97.18","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 07:00","2016","10","01","07:00","12.1","","10.4","","89","","10","","12","","","","97.18","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 08:00","2016","10","01","08:00","12.0","","10.7","","92","","10","","9","","","","97.18","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 09:00","2016","10","01","09:00","12.4","","11.1","","92","","10","","11","","","","97.17","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 10:00","2016","10","01","10:00","12.9","","11.3","","90","","11","","8","","","","97.15","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 11:00","2016","10","01","11:00","13.6","","11.6","","88","","12","","6","","","","97.12","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 12:00","2016","10","01","12:00","13.7","","11.8","","88","","10","","9","","","","97.06","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 13:00","2016","10","01","13:00","14.2","","12.6","","90","","10","","6","","","","97.03","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 14:00","2016","10","01","14:00","14.4","","12.5","","88","","11","","6","","","","96.97","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 15:00","2016","10","01","15:00","14.0","","12.4","","90","","11","","6","","","","96.96","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 16:00","2016","10","01","16:00","13.5","","12.5","","94","","11","","4","","","","96.99","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 17:00","2016","10","01","17:00","13.5","","12.5","","94","","9","","8","","","","96.93","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 18:00","2016","10","01","18:00","13.7","","12.4","","92","","12","","3","","","","96.89","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 19:00","2016","10","01","19:00","13.7","","12.5","","92","","15","","3","","","","96.91","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 20:00","2016","10","01","20:00","13.5","","12.6","","94","","14","","4","","","","96.93","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 21:00","2016","10","01","21:00","13.4","","12.7","","96","","11","","6","","","","96.87","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 22:00","2016","10","01","22:00","13.6","","12.8","","95","","13","","6","","","","96.84","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-01 23:00","2016","10","01","23:00","13.6","","12.9","","95","","13","","4","","","","96.79","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 00:00","2016","10","02","00:00","13.8","","13.0","","95","","16","","4","","","","96.79","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 01:00","2016","10","02","01:00","13.7","","13.1","","96","","16","","3","","","","96.77","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 02:00","2016","10","02","02:00","13.6","","13.1","","97","","18","","4","","","","96.76","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 03:00","2016","10","02","03:00","13.6","","13.1","","97","","16","","3","","","","96.71","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 04:00","2016","10","02","04:00","13.5","","13.1","","97","","17","","3","","","","96.71","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 05:00","2016","10","02","05:00","13.4","","13.0","","97","","16","","4","","","","96.70","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 06:00","2016","10","02","06:00","13.3","","12.9","","97","","11","","1","","","","96.71","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 07:00","2016","10","02","07:00","13.2","","12.8","","97","","15","","2","","","","96.70","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 08:00","2016","10","02","08:00","13.6","","13.1","","97","","0","","1","","","","96.68","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 09:00","2016","10","02","09:00","15.3","","12.8","","85","","20","","5","","","","96.66","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 10:00","2016","10","02","10:00","16.8","","11.7","","72","","23","","7","","","","96.65","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 11:00","2016","10","02","11:00","16.9","","12.2","","74","","21","","7","","","","96.65","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 12:00","2016","10","02","12:00","16.3","","12.7","","79","","28","","7","","","","96.67","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 13:00","2016","10","02","13:00","14.9","","13.1","","89","","30","","7","","","","96.64","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 14:00","2016","10","02","14:00","15.1","","13.7","","91","","26","","6","","","","96.60","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 15:00","2016","10","02","15:00","15.2","","13.3","","88","","30","","10","","","","96.59","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 16:00","2016","10","02","16:00","13.8","","12.7","","93","","33","","7","","","","96.60","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 17:00","2016","10","02","17:00","14.3","","13.5","","95","","32","","3","","","","96.63","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 18:00","2016","10","02","18:00","13.8","","12.9","","94","","29","","4","","","","96.66","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 19:00","2016","10","02","19:00","13.4","","12.8","","96","","28","","2","","","","96.67","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 20:00","2016","10","02","20:00","13.5","","12.3","","93","","31","","7","","","","96.72","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2016-10-02 21:00","2016","10","02","21:00","13.4","","12.7","","96","","27","","3","","","","96.70","","","","","","NA"
