"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 00:00","2018","02","01","00:00","-0.5","","-3.4","","81","","23","","11","","","","95.60","","","","-4","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 01:00","2018","02","01","01:00","-0.8","","-3.1","","84","","24","","10","","","","95.56","","","","-4","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 02:00","2018","02","01","02:00","-0.8","","-2.9","","86","","24","","9","","","","95.60","","","","-4","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 03:00","2018","02","01","03:00","-1.3","","-3.1","","87","","23","","9","","","","95.60","","","","-5","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 04:00","2018","02","01","04:00","-1.6","","-3.2","","89","","22","","12","","","","95.55","","","","-6","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 05:00","2018","02","01","05:00","-1.7","","-3.3","","89","","21","","12","","","","95.53","","","","-6","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 06:00","2018","02","01","06:00","-1.4","","-3.3","","87","","22","","11","","","","95.50","","","","-5","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 07:00","2018","02","01","07:00","-1.5","","-3.2","","88","","22","","11","","","","95.49","","","","-5","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 08:00","2018","02","01","08:00","-1.3","","-3.1","","87","","21","","17","","","","95.49","","","","-6","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 09:00","2018","02","01","09:00","-1.1","","-3.0","","87","","21","","19","","","","95.50","","","","-6","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 10:00","2018","02","01","10:00","-0.3","","-3.0","","82","","23","","22","","","","95.52","","","","-6","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 11:00","2018","02","01","11:00","-0.6","","-3.3","","82","","25","","20","","","","95.56","","","","-6","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 12:00","2018","02","01","12:00","-2.3","","-3.9","","88","","30","","17","","","","95.64","","","","-8","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 13:00","2018","02","01","13:00","-5.6","","-7.4","","87","","33","","19","","","","95.74","","","","-12","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 14:00","2018","02","01","14:00","-7.2","","-9.2","","85","","33","","17","","","","95.85","","","","-14","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 15:00","2018","02","01","15:00","-7.6","","-9.8","","84","","32","","23","","","","95.94","","","","-15","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 16:00","2018","02","01","16:00","-8.9","","-11.0","","85","","33","","21","","","","96.07","","","","-17","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 17:00","2018","02","01","17:00","-9.9","","-12.4","","82","","32","","23","","","","96.18","","","","-18","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 18:00","2018","02","01","18:00","-10.3","","-12.9","","81","","32","","19","","","","96.27","","","","-18","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 19:00","2018","02","01","19:00","-10.7","","-13.1","","82","","30","","14","","","","96.39","","","","-17","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 20:00","2018","02","01","20:00","-11.4","","-13.6","","84","","30","","18","","","","96.46","","","","-19","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 21:00","2018","02","01","21:00","-11.4","","-12.9","","88","","30","","15","","","","96.53","","","","-18","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 22:00","2018","02","01","22:00","-11.9","","-13.4","","89","","28","","12","","","","96.57","","","","-18","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-01 23:00","2018","02","01","23:00","-11.8","","-13.4","","88","","27","","13","","","","96.61","","","","-18","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-02 00:00","2018","02","02","00:00","-12.0","","-13.5","","89","","26","","12","","","","96.63","","","","-18","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-02 01:00","2018","02","02","01:00","-11.7","","-12.8","","91","","26","","14","","","","96.63","","","","-19","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-02 02:00","2018","02","02","02:00","-12.8","","-14.2","","90","","31","","9","","","","96.72","","","","-18","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-02 03:00","2018","02","02","03:00","-14.3","","-16.3","","85","","33","","11","","","","96.82","","","","-21","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-02 04:00","2018","02","02","04:00","-15.6","","-17.6","","85","","34","","12","","","","96.90","","","","-23","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2018-02-02 05:00","2018","02","02","05:00","-16.7","","-18.8","","84","","34","","10","","","","96.97","","","","-23","","NA"
