"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-08-01 00:00","2019","08","01","00:00","11.5","","8.9","","84","","8","","4","","","","97.24","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-08-01 01:00","2019","08","01","01:00","10.4","","8.7","","89","","5","","6","","","","97.25","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-08-01 02:00","2019","08","01","02:00","10.3","","8.4","","88","","6","","4","","","","97.26","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-08-01 03:00","2019","08","01","03:00","10.3","","8.6","","90","","6","","4","","","","97.27","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-08-01 04:00","2019","08","01","04:00","9.2","","7.8","","91","","","","0","","","","97.28","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-08-01 05:00","2019","08","01","05:00","9.6","","8.7","","94","","9","","4","","","","97.28","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-08-01 06:00","2019","08","01","06:00","12.0","","10.8","","92","","7","","6","","","","97.32","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-08-01 07:00","2019","08","01","07:00","15.8","","13.3","","85","","6","","5","","","","97.34","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-08-01 08:00","2019","08","01","08:00","18.7","","12.2","","66","","6","","6","","","","97.40","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-08-01 09:00","2019","08","01","09:00","20.6","","11.0","","54","","7","","12","","","","97.40","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-08-01 10:00","2019","08","01","10:00","21.7","","9.7","","46","","7","","11","","","","97.41","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-08-01 11:00","2019","08","01","11:00","22.3","","8.4","","41","","7","","9","","","","97.39","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-08-01 12:00","2019","08","01","12:00","23.7","","9.0","","39","","10","","6","","","","97.39","","25","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-08-01 13:00","2019","08","01","13:00","23.8","","8.1","","37","","12","","6","","","","97.38","","","","","","NA"
"-80.75","43.98","MOUNT FOREST (AUT)","6145504","2019-08-01 14:00","2019","08","01","14:00","25.0","","6.8","","31","","9","","8","","","","97.33","","25","","","","NA"
