"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 00:00","2017","01","01","00:00","-12.3","","-13.8","","89","","29","","8","","16.1","","97.94","","","","-17","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 01:00","2017","01","01","01:00","-12.9","","-14.2","","90","","","M","4","","16.1","","97.96","","","","-16","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 02:00","2017","01","01","02:00","-12.3","","-13.8","","89","","26","","5","","16.1","","98.01","","","","-16","","Snow"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 03:00","2017","01","01","03:00","-10.8","","-12.4","","88","","31","","5","","16.1","","98.05","","","","-14","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 04:00","2017","01","01","04:00","-10.3","","-11.8","","89","","28","","5","","16.1","","98.13","","","","-13","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 05:00","2017","01","01","05:00","-9.5","","-11.0","","89","","","M","4","","16.1","","98.15","","","","-12","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 06:00","2017","01","01","06:00","-9.5","","-10.6","","92","","30","","5","","16.1","","98.20","","","","-12","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 07:00","2017","01","01","07:00","-8.9","","-10.3","","90","","27","","8","","16.1","","98.34","","","","-13","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 08:00","2017","01","01","08:00","-8.4","","-9.6","","91","","24","","8","","16.1","","98.44","","","","-13","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 09:00","2017","01","01","09:00","-7.7","","-9.5","","87","","20","","9","","16.1","","98.55","","","","-12","","Snow"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 10:00","2017","01","01","10:00","-8.5","","-9.9","","90","","24","","9","","16.1","","98.70","","","","-13","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 11:00","2017","01","01","11:00","-6.2","","-9.5","","78","","28","","17","","16.1","","98.86","","","","-12","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 12:00","2017","01","01","12:00","-5.4","","-9.8","","72","","31","","17","","16.1","","98.93","","","","-11","","Snow"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 13:00","2017","01","01","13:00","-5.3","","-10.2","","69","","30","","21","","16.1","","99.00","","","","-12","","Snow"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 14:00","2017","01","01","14:00","-6.1","","-11.4","","66","","29","","18","","16.1","","99.12","","","","-13","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 15:00","2017","01","01","15:00","-5.9","","-11.2","","66","","28","","13","","16.1","","99.28","","","","-11","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 16:00","2017","01","01","16:00","-5.9","","-11.4","","66","","27","","24","","16.1","","99.44","","","","-13","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 17:00","2017","01","01","17:00","-6.7","","-11.5","","69","","32","","17","","16.1","","99.53","","","","-13","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 18:00","2017","01","01","18:00","-8.9","","-13.0","","73","","32","","9","","16.1","","99.66","","","","-14","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 19:00","2017","01","01","19:00","-10.7","","-14.6","","73","","30","","11","","16.1","","99.84","","","","-16","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 20:00","2017","01","01","20:00","-12.4","","-15.8","","76","","26","","5","","16.1","","99.95","","","","-16","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 21:00","2017","01","01","21:00","-15.9","","-17.5","","88","","","M","4","","16.1","","100.06","","","","-19","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 22:00","2017","01","01","22:00","-17.8","","-19.4","","87","","29","","4","","16.1","","100.16","","","","-21","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-01 23:00","2017","01","01","23:00","-17.8","","-19.1","","90","","29","","5","","16.1","","100.19","","","","-22","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 00:00","2017","01","02","00:00","-18.0","","-19.7","","87","","29","","8","","16.1","","100.26","","","","-24","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 01:00","2017","01","02","01:00","-16.7","","-18.4","","87","","26","","5","","16.1","","100.31","","","","-21","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 02:00","2017","01","02","02:00","-16.1","","-17.8","","87","","32","","5","","16.1","","100.32","","","","-20","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 03:00","2017","01","02","03:00","-16.9","","-18.7","","86","","25","","4","","16.1","","100.40","","","","-20","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 04:00","2017","01","02","04:00","-17.3","","-18.9","","87","","23","","8","","16.1","","100.46","","","","-23","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 05:00","2017","01","02","05:00","-17.6","","-19.3","","87","","26","","5","","16.1","","100.43","","","","-22","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 06:00","2017","01","02","06:00","-16.5","","-18.2","","87","","28","","4","","16.1","","100.41","","","","-20","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 07:00","2017","01","02","07:00","-15.8","","-17.9","","84","","27","","8","","16.1","","100.45","","","","-21","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 08:00","2017","01","02","08:00","-15.5","","-17.6","","84","","25","","4","","16.1","","100.45","","","","-18","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 09:00","2017","01","02","09:00","-15.0","","-17.0","","85","","","","0","","16.1","","100.48","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 10:00","2017","01","02","10:00","-14.2","","-16.3","","84","","25","","5","","16.1","","100.46","","","","-18","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 11:00","2017","01","02","11:00","-12.1","","-15.4","","77","","25","","4","","16.1","","100.42","","","","-15","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 12:00","2017","01","02","12:00","-10.1","","-12.6","","82","","","","0","","4.0","","100.34","","","","","","Snow"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 13:00","2017","01","02","13:00","-6.2","","-8.2","","86","","7","","22","","4.0","","100.23","","","","-13","","Snow"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 14:00","2017","01","02","14:00","-5.8","","-7.3","","89","","6","","24","","2.0","","100.16","","","","-13","","Snow"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 15:00","2017","01","02","15:00","-6.4","","-8.1","","88","","5","","22","","2.8","","100.13","","","","-14","","Snow"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 16:00","2017","01","02","16:00","-6.8","","-8.2","","90","","5","","15","","2.0","","100.09","","","","-13","","Snow"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 17:00","2017","01","02","17:00","-7.2","","-8.1","","93","","4","","8","","1.6","","100.09","","","","-11","","Snow"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 18:00","2017","01","02","18:00","-7.6","","-8.7","","92","","4","","15","","2.4","","100.03","","","","-14","","Snow"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 19:00","2017","01","02","19:00","-7.9","","-9.1","","91","","3","","9","","2.0","","100.04","","","","-12","","Snow"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 20:00","2017","01","02","20:00","-8.1","","-9.0","","93","","1","","8","","2.0","","99.99","","","","-12","","Snow"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 21:00","2017","01","02","21:00","-8.0","","-9.2","","91","","3","","9","","2.0","","99.92","","","","-13","","Snow"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 22:00","2017","01","02","22:00","-7.8","","-8.9","","92","","35","","8","","3.2","","99.85","","","","-12","","Snow"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-02 23:00","2017","01","02","23:00","-7.4","","-8.2","","94","","3","","9","","6.4","","99.74","","","","-12","","Snow"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-03 00:00","2017","01","03","00:00","-6.6","","-8.1","","89","","4","","11","","16.1","","99.68","","","","-12","","Snow"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-03 01:00","2017","01","03","01:00","-5.7","","-7.7","","86","","6","","26","","16.1","","99.54","","","","-13","","Snow"
"-89.32","48.37","THUNDER BAY","6048260","2017-01-03 02:00","2017","01","03","02:00","-5.7","","-7.5","","87","","6","","21","","16.1","","99.43","","","","-13","","NA"
