"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-89.32","48.37","THUNDER BAY","6048260","2016-11-01 00:00","2016","11","01","00:00","10.9","","9.7","","92","","22","","13","","16.1","","97.62","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-11-01 01:00","2016","11","01","01:00","11.0","","9.8","","92","","20","","17","","16.1","","97.60","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-11-01 02:00","2016","11","01","02:00","11.1","","9.9","","92","","19","","13","","16.1","","97.49","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-11-01 03:00","2016","11","01","03:00","11.2","","10.1","","93","","22","","9","","16.1","","97.46","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-11-01 04:00","2016","11","01","04:00","11.9","","10.2","","89","","23","","17","","16.1","","97.41","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-11-01 05:00","2016","11","01","05:00","11.3","","9.7","","90","","23","","13","","16.1","","97.36","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-11-01 06:00","2016","11","01","06:00","12.1","","6.9","","70","","25","","28","","16.1","","97.44","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-11-01 07:00","2016","11","01","07:00","11.3","","6.7","","73","","24","","15","","16.1","","97.49","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-11-01 08:00","2016","11","01","08:00","10.5","","5.5","","71","","25","","35","","16.1","","97.57","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-11-01 09:00","2016","11","01","09:00"
"-89.32","48.37","THUNDER BAY","6048260","2016-11-01 10:00","2016","11","01","10:00"
"-89.32","48.37","THUNDER BAY","6048260","2016-11-01 11:00","2016","11","01","11:00"
"-89.32","48.37","THUNDER BAY","6048260","2016-11-01 12:00","2016","11","01","12:00"
"-89.32","48.37","THUNDER BAY","6048260","2016-11-01 13:00","2016","11","01","13:00","10.1","","4.9","","70","","28","","37","","16.1","","98.22","","","","","","NA"
