"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-89.32","48.37","THUNDER BAY","6048260","2018-05-01 00:00","2018","05","01","00:00","8.1","","2.8","","69","","5","","5","","16.1","","98.13","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2018-05-01 01:00","2018","05","01","01:00","7.9","","2.6","","69","","7","","8","","16.1","","98.10","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2018-05-01 02:00","2018","05","01","02:00","7.8","","2.5","","69","","6","","8","","16.1","","98.07","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2018-05-01 03:00","2018","05","01","03:00","7.5","","2.6","","71","","7","","8","","16.1","","98.03","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2018-05-01 04:00","2018","05","01","04:00","7.3","","2.6","","72","","","M","4","","16.1","","98.02","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2018-05-01 05:00","2018","05","01","05:00","7.2","","3.7","","79","","9","","8","","16.1","","97.95","","","","","","Thunderstorms,Rain"
"-89.32","48.37","THUNDER BAY","6048260","2018-05-01 06:00","2018","05","01","06:00","6.3","","3.3","","81","","4","","13","","16.1","","97.89","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2018-05-01 07:00","2018","05","01","07:00","6.2","","3.0","","80","","6","","13","","16.1","","97.85","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2018-05-01 08:00","2018","05","01","08:00","8.1","","3.4","","72","","7","","15","","16.1","","97.84","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2018-05-01 09:00","2018","05","01","09:00","9.8","","3.8","","66","","8","","11","","16.1","","97.85","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2018-05-01 10:00","2018","05","01","10:00","10.8","","4.0","","63","","7","","11","","16.1","","97.82","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2018-05-01 11:00","2018","05","01","11:00","11.7","","4.4","","61","","8","","18","","16.1","","97.78","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2018-05-01 12:00","2018","05","01","12:00","13.9","","5.1","","55","","7","","18","","16.1","","97.75","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2018-05-01 13:00","2018","05","01","13:00","15.0","","5.5","","53","","8","","21","","16.1","","97.70","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2018-05-01 14:00","2018","05","01","14:00","16.2","","5.9","","50","","7","","11","","16.1","","97.77","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2018-05-01 15:00","2018","05","01","15:00","18.1","","6.6","","47","","6","","5","","16.1","","97.82","","","","","","NA"
