"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 00:00","2016","05","01","00:00","2.7","","-2.6","","68","","5","","9","","16.1","","100.13","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 01:00","2016","05","01","01:00","2.5","","-2.4","","70","","3","","9","","16.1","","100.12","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 02:00","2016","05","01","02:00","0.2","","-3.2","","78","","","M","4","","16.1","","100.12","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 03:00","2016","05","01","03:00","-1.9","","-3.6","","88","","23","","5","","16.1","","100.11","","","","-4","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 04:00","2016","05","01","04:00","-2.5","","-3.5","","93","","23","","5","","16.1","","100.14","","","","-4","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 05:00","2016","05","01","05:00","-2.4","","-3.2","","94","","23","","8","","16.1","","100.15","","","","-6","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 06:00","2016","05","01","06:00","-3.2","","-3.9","","95","","22","","8","","16.1","","100.18","","","","-6","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 07:00","2016","05","01","07:00","1.1","","-1.1","","85","","23","","5","","16.1","","100.20","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 08:00","2016","05","01","08:00","4.5","","-0.1","","72","","","","0","","16.1","","100.20","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 09:00","2016","05","01","09:00","8.4","","1.8","","63","","7","","18","","16.1","","100.18","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 10:00","2016","05","01","10:00","9.3","","2.0","","60","","9","","15","","16.1","","100.14","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 11:00","2016","05","01","11:00","10.8","","2.0","","54","","8","","17","","16.1","","100.09","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 12:00","2016","05","01","12:00","12.0","","1.8","","50","","10","","17","","16.1","","100.05","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 13:00","2016","05","01","13:00","12.5","","1.8","","48","","13","","24","","16.1","","99.99","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 14:00","2016","05","01","14:00","12.3","","1.6","","48","","10","","22","","16.1","","99.95","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 15:00","2016","05","01","15:00","13.0","","1.5","","45","","9","","22","","16.1","","99.87","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 16:00","2016","05","01","16:00","13.4","","1.3","","43","","9","","21","","16.1","","99.83","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 17:00","2016","05","01","17:00","12.8","","0.7","","43","","13","","18","","16.1","","99.79","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 18:00","2016","05","01","18:00","12.9","","0.2","","42","","11","","18","","16.1","","99.76","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 19:00","2016","05","01","19:00","12.2","","0.0","","43","","12","","13","","16.1","","99.75","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 20:00","2016","05","01","20:00","10.2","","0.3","","50","","17","","5","","16.1","","99.76","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 21:00","2016","05","01","21:00","7.0","","0.9","","65","","36","","4","","16.1","","99.78","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 22:00","2016","05","01","22:00","3.8","","0.6","","80","","","","0","","16.1","","99.78","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-01 23:00","2016","05","01","23:00","2.6","","0.0","","83","","32","","4","","16.1","","99.77","","","","","","NA"
"-89.32","48.37","THUNDER BAY","6048260","2016-05-02 00:00","2016","05","02","00:00","0.4","","-0.9","","91","","27","","5","","16.1","","99.75","","","","","","NA"
